RECEIVED,SRRECTYPE,SR_TYPE_DESC,PC,WARD,COMPLETED,CLOSED,Flytip_Status,How_Recieved,where_Recieved
04/01/2018,EPRN18,Noise - PA Systems & Loud Speakers,,Guiseley & Rawdon,20/02/2018,20/02/2018,,Self Service,CCP Self Service
04/01/2018,EPRN02,Noise - Commercial/Industrial Activities,,City & Hunslet,11/06/2018,11/06/2018,,E-mail,Environmental Health Back Office
04/01/2018,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Beeston & Holbeck,19/01/2018,19/01/2018,,Self Service,CCP Self Service
05/01/2018,EPRN02,Noise - Commercial/Industrial Activities,,Gipton & Harehills,05/03/2018,05/03/2018,,Telephone Call,Environmental Health Back Office
06/01/2018,EPRN03,Noise - Construction Sites,LS22 6,Wetherby,08/01/2018,08/01/2018,,Self Service,CCP Self Service
07/01/2018,EPRN18,Noise - PA Systems & Loud Speakers,,Hyde Park & Woodhouse,08/01/2018,08/01/2018,,Self Service,CCP Self Service
08/01/2018,EPRN25,Noise - Licensed Premises,,Wetherby,08/01/2018,08/01/2018,,Letter,Environmental Health Back Office
08/01/2018,EPRN21,Noise - Low Frequency,,Rothwell,08/01/2018,08/01/2018,,Telephone Call,Contact Centre
09/01/2018,EPRN02,Noise - Commercial/Industrial Activities,,Adel & Wharfedale,09/01/2018,09/01/2018,,Self Service,CCP Self Service
09/01/2018,EPRN02,Noise - Commercial/Industrial Activities,,Weetwood,09/01/2018,09/01/2018,,Self Service,CCP Self Service
09/01/2018,EPRN03,Noise - Construction Sites,,Hyde Park & Woodhouse,09/01/2018,09/01/2018,,Self Service,CCP Self Service
09/01/2018,EPRN17,Noise - Farming Bird Scarers,LS26 8,Garforth & Swillington,19/01/2018,19/01/2018,,E-mail,Environmental Health Back Office
10/01/2018,EPRN03,Noise - Construction Sites,LS1 1,City & Hunslet,10/01/2018,10/01/2018,,Self Service,CCP Self Service
10/01/2018,EPRN03,Noise - Construction Sites,LS1 1,City & Hunslet,16/02/2018,16/02/2018,,Self Service,CCP Self Service
10/01/2018,EPRN25,Noise - Licensed Premises,,City & Hunslet,19/02/2018,19/02/2018,,Telephone Call,Contact Centre
10/01/2018,EPRN03,Noise - Construction Sites,,Alwoodley,10/01/2018,10/01/2018,,Telephone Call,Contact Centre
10/01/2018,EPRN02,Noise - Commercial/Industrial Activities,LS28 6,Bramley & Stanningley,10/01/2018,10/01/2018,,Telephone Call,Contact Centre
10/01/2018,EPRN02,Noise - Commercial/Industrial Activities,,Gipton & Harehills,12/01/2018,12/01/2018,,Self Service,CCP Self Service
11/01/2018,EPRN22,Noise - Major Domestic Building Works,LS1 5,City & Hunslet,29/01/2018,29/01/2018,,Self Service,CCP Self Service
11/01/2018,EPRN17,Noise - Farming Bird Scarers,LS26 8,Garforth & Swillington,19/01/2018,19/01/2018,,Telephone Call,Environmental Health Back Office
12/01/2018,EPRN02,Noise - Commercial/Industrial Activities,,Morley North,08/02/2018,08/02/2018,,E-mail,Environmental Health Back Office
12/01/2018,EPRN18,Noise - PA Systems & Loud Speakers,,City & Hunslet,20/02/2018,20/02/2018,,Self Service,CCP Self Service
13/01/2018,EPRN04,Noise - Delivery/Collection Vehicles,LS1 1,City & Hunslet,20/02/2018,20/02/2018,,Self Service,CCP Self Service
14/01/2018,EPRN22,Noise - Major Domestic Building Works,,Harewood,15/01/2018,15/01/2018,,Self Service,CCP Self Service
15/01/2018,EPRN21,Noise - Low Frequency,,Farnley & Wortley,01/02/2018,01/02/2018,,Telephone Call,Environmental Health Back Office
15/01/2018,EPRN11,Noise - Farming Activities,LS26 8,Garforth & Swillington,16/01/2018,16/01/2018,,Telephone Call,Contact Centre
15/01/2018,EPRN25,Noise - Licensed Premises,,City & Hunslet,30/01/2018,30/01/2018,,Telephone Call,Environmental Health Back Office
15/01/2018,EPRN18,Noise - PA Systems & Loud Speakers,,City & Hunslet,16/01/2018,16/01/2018,,Self Service,CCP Self Service
16/01/2018,EPRN02,Noise - Commercial/Industrial Activities,LS28 6,Bramley & Stanningley,16/01/2018,16/01/2018,,Telephone Call,Contact Centre
16/01/2018,EPRN18,Noise - PA Systems & Loud Speakers,,City & Hunslet,30/01/2018,30/01/2018,,Self Service,CCP Self Service
16/01/2018,EPRN22,Noise - Major Domestic Building Works,,Chapel Allerton,16/01/2018,16/01/2018,,Telephone Call,Contact Centre
17/01/2018,EPRN25,Noise - Licensed Premises,,City & Hunslet,19/03/2018,19/03/2018,,Telephone Call,Environmental Health Back Office
17/01/2018,EPRN25,Noise - Licensed Premises,,Garforth & Swillington,17/01/2018,17/01/2018,,E-mail,Environmental Health Back Office
17/01/2018,EPRN02,Noise - Commercial/Industrial Activities,,Killingbeck & Seacroft,17/01/2018,17/01/2018,,Self Service,CCP Self Service
17/01/2018,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Headingley,17/01/2018,17/01/2018,,Telephone Call,Contact Centre
18/01/2018,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Morley North,19/01/2018,19/01/2018,,Telephone Call,Contact Centre
19/01/2018,EPRN03,Noise - Construction Sites,,Guiseley & Rawdon,19/01/2018,19/01/2018,,Telephone Call,Contact Centre
21/01/2018,EPRN02,Noise - Commercial/Industrial Activities,,City & Hunslet,09/03/2018,09/03/2018,,Self Service,CCP Self Service
22/01/2018,EPRN18,Noise - PA Systems & Loud Speakers,,Roundhay,23/01/2018,23/01/2018,,Telephone Call,Contact Centre
22/01/2018,EPRN05,Noise - Roadworks,LS1 4,City & Hunslet,23/01/2018,23/01/2018,,,Environmental Health Back Office
23/01/2018,EPRN04,Noise - Delivery/Collection Vehicles,,Wetherby,12/02/2018,12/02/2018,,Telephone Call,Contact Centre
23/01/2018,EPRN03,Noise - Construction Sites,LS11 9,City & Hunslet,23/01/2018,23/01/2018,,Self Service,CCP Self Service
23/01/2018,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Headingley,06/03/2018,06/03/2018,,Self Service,CCP Self Service
23/01/2018,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Alwoodley,26/01/2018,26/01/2018,,Self Service,CCP Self Service
24/01/2018,EPRN25,Noise - Licensed Premises,,City & Hunslet,06/03/2018,06/03/2018,,Telephone Call,Environmental Health Back Office
24/01/2018,EPRN25,Noise - Licensed Premises,,Harewood,07/03/2018,07/03/2018,,E-mail,Environmental Health Back Office
24/01/2018,EPRN02,Noise - Commercial/Industrial Activities,,City & Hunslet,09/02/2018,09/02/2018,,E-mail,Environmental Health Back Office
25/01/2018,EPRN06,Noise - Transport Not Constructn Related,,Alwoodley,25/01/2018,25/01/2018,,Telephone Call,Contact Centre
25/01/2018,EPRN03,Noise - Construction Sites,,Weetwood,14/03/2018,14/03/2018,,E-mail,Environmental Health Back Office
25/01/2018,EPRN21,Noise - Low Frequency,,Beeston & Holbeck,25/01/2018,25/01/2018,,Telephone Call,Contact Centre
25/01/2018,EPRN02,Noise - Commercial/Industrial Activities,,Armley,21/02/2018,21/02/2018,,Telephone Call,Environmental Health Back Office
25/01/2018,EPRN02,Noise - Commercial/Industrial Activities,,Calverley & Farsley,05/11/2018,05/11/2018,,Self Service,CCP Self Service
26/01/2018,EPRN03,Noise - Construction Sites,,Chapel Allerton,29/01/2018,29/01/2018,,Self Service,CCP Self Service
26/01/2018,EPRN03,Noise - Construction Sites,,Chapel Allerton,06/02/2018,06/02/2018,,Self Service,CCP Self Service
27/01/2018,EPRN25,Noise - Licensed Premises,,Wetherby,05/09/2018,05/09/2018,,Self Service,CCP Self Service
27/01/2018,EPRN25,Noise - Licensed Premises,,City & Hunslet,19/02/2018,19/02/2018,,E-mail,Environmental Health Back Office
27/01/2018,EPRN03,Noise - Construction Sites,,Chapel Allerton,06/02/2018,06/02/2018,,Self Service,CCP Self Service
27/01/2018,EPRN25,Noise - Licensed Premises,LS18 4,Horsforth,13/03/2018,13/03/2018,,Telephone Call,Environmental Health Back Office
27/01/2018,EPRN18,Noise - PA Systems & Loud Speakers,LS18 4,Horsforth,29/01/2018,29/01/2018,,Self Service,CCP Self Service
29/01/2018,EPRN03,Noise - Construction Sites,,Chapel Allerton,15/03/2018,15/03/2018,,Telephone Call,Environmental Health Back Office
30/01/2018,EPRN25,Noise - Licensed Premises,,Beeston & Holbeck,23/04/2018,23/04/2018,,E-mail,Contact Centre
31/01/2018,EPRN16,Noise - Buskers,LS1 6,City & Hunslet,31/01/2018,31/01/2018,,E-mail,Environmental Health Back Office
31/01/2018,EPRN24,Noise - Patrons Entrng/Extng Buildings,,City & Hunslet,09/03/2018,09/03/2018,,Self Service,CCP Self Service
