RECEIVED,SRRECTYPE,SR_TYPE_DESC,PC,WARD,COMPLETED,CLOSED,Flytip_Status,How_Recieved,where_Recieved
19/07/2019,EPRN03,Noise - Construction Sites,,Weetwood,29/07/2019,29/07/2019,,E-mail,Environmental Health Back Office
19/07/2019,EPRN25,Noise - Licensed Premises,,Beeston & Holbeck,06/09/2019,06/09/2019,,Telephone Call,Environmental Health Back Office
19/07/2019,EPRN02,Noise - Commercial/Industrial Activities,LS6 1,Headingley & Hyde Park,05/08/2019,05/08/2019,,E-mail,Environmental Health Back Office
19/07/2019,EPRN25,Noise - Licensed Premises,,Pudsey,22/08/2019,22/08/2019,,Self Service,CCP Self Service
19/07/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,22/07/2019,22/07/2019,,Self Service,CCP Self Service
19/07/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,05/08/2019,05/08/2019,,Self Service,CCP Self Service
19/07/2019,EPRN21,Noise - Low Frequency,,Kirkstall,22/07/2019,22/07/2019,,Self Service,CCP Self Service
20/07/2019,EPRN03,Noise - Construction Sites,,Weetwood,22/07/2019,22/07/2019,,Self Service,CCP Self Service
20/07/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Calverley & Farsley,22/07/2019,22/07/2019,,Self Service,CCP Self Service
20/07/2019,EPRN25,Noise - Licensed Premises,,Pudsey,22/07/2019,22/07/2019,,Self Service,CCP Self Service
20/07/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Little London & Woodhouse,22/07/2019,22/07/2019,,Self Service,CCP Self Service
20/07/2019,EPRN25,Noise - Licensed Premises,,Morley South,22/07/2019,22/07/2019,,Self Service,CCP Self Service
20/07/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,22/07/2019,22/07/2019,,Telephone Call,Environmental Health Back Office
21/07/2019,EPRN05,Noise - Roadworks,,Armley,12/08/2019,12/08/2019,,Self Service,CCP Self Service
21/07/2019,EPRN03,Noise - Construction Sites,,Armley,22/07/2019,22/07/2019,,Self Service,CCP Self Service
21/07/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Armley,22/07/2019,22/07/2019,,Self Service,CCP Self Service
21/07/2019,EPRN21,Noise - Low Frequency,,Headingley & Hyde Park,14/08/2019,14/08/2019,,Self Service,CCP Self Service
21/07/2019,EPRN25,Noise - Licensed Premises,,Little London & Woodhouse,08/08/2019,08/08/2019,,Self Service,CCP Self Service
22/07/2019,EPRN02,Noise - Commercial/Industrial Activities,,Killingbeck & Seacroft,20/11/2019,20/11/2019,,E-mail,Environmental Health Back Office
22/07/2019,EPRN02,Noise - Commercial/Industrial Activities,,Killingbeck & Seacroft,20/11/2019,20/11/2019,,E-mail,Environmental Health Back Office
22/07/2019,EPRN08,Noise - Ice Cream Van Chimes,LS13 3,Bramley & Stanningley,22/08/2019,22/08/2019,,Self Service,CCP Self Service
23/07/2019,EPRN03,Noise - Construction Sites,,Pudsey,23/07/2019,23/07/2019,,Self Service,CCP Self Service
23/07/2019,EPRN25,Noise - Licensed Premises,,Chapel Allerton,27/08/2019,27/08/2019,,Telephone Call,Environmental Health Back Office
23/07/2019,EPRN02,Noise - Commercial/Industrial Activities,,Crossgates & Whinmoor,27/01/2020,27/01/2020,,E-mail,Environmental Health Back Office
23/07/2019,EPRN25,Noise - Licensed Premises,,Horsforth,22/08/2019,22/08/2019,,E-mail,Environmental Health Back Office
23/07/2019,EPRN08,Noise - Ice Cream Van Chimes,LS3 1,Little London & Woodhouse,22/08/2019,22/08/2019,,E-mail,Environmental Health Back Office
23/07/2019,EPRN25,Noise - Licensed Premises,,Headingley & Hyde Park,08/08/2019,08/08/2019,,Telephone Call,Environmental Health Back Office
23/07/2019,EPRN07,Noise - Motor Vehicles (On Private Land),,Guiseley & Rawdon,24/07/2019,24/07/2019,,Self Service,CCP Self Service
23/07/2019,EPRN18,Noise - PA Systems & Loud Speakers,LS10 1,Hunslet & Riverside,16/08/2019,16/08/2019,,Self Service,CCP Self Service
24/07/2019,EPRN02,Noise - Commercial/Industrial Activities,,Hunslet & Riverside,19/08/2019,19/08/2019,,E-mail,Environmental Health Back Office
24/07/2019,EPRN03,Noise - Construction Sites,,Weetwood,21/08/2019,21/08/2019,,Telephone Call,Contact Centre
24/07/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Hunslet & Riverside,24/07/2019,24/07/2019,,E-mail,Environmental Health Back Office
24/07/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Killingbeck & Seacroft,24/07/2019,24/07/2019,,Telephone Call,Contact Centre
24/07/2019,EPRN01,Noise - Air-Conditioning Units/Chillers,,Calverley & Farsley,05/08/2019,05/08/2019,,Telephone Call,Contact Centre
24/07/2019,EPRN03,Noise - Construction Sites,,Roundhay,17/09/2019,17/09/2019,,E-mail,Environmental Health Back Office
24/07/2019,EPRN08,Noise - Ice Cream Van Chimes,LS6 3,Headingley & Hyde Park,22/08/2019,22/08/2019,,E-mail,Environmental Health Back Office
24/07/2019,EPRN02,Noise - Commercial/Industrial Activities,LS1 2,Little London & Woodhouse,01/08/2019,01/08/2019,,Telephone Call,Contact Centre
24/07/2019,EPRN05,Noise - Roadworks,LS11 5,Hunslet & Riverside,25/07/2019,25/07/2019,,Self Service,CCP Self Service
24/07/2019,EPRN25,Noise - Licensed Premises,,Morley South,12/09/2019,12/09/2019,,E-mail,Environmental Health Back Office
25/07/2019,EPRN03,Noise - Construction Sites,,Morley South,25/07/2019,25/07/2019,,Self Service,CCP Self Service
25/07/2019,EPRN19,Noise - Mobile Plant/Machinery,,Gipton & Harehills,25/07/2019,25/07/2019,,Self Service,CCP Self Service
25/07/2019,EPRN22,Noise - Major Domestic Building Works,,Weetwood,08/08/2019,08/08/2019,,Telephone Call,Contact Centre
25/07/2019,EPRN02,Noise - Commercial/Industrial Activities,,Weetwood,26/07/2019,26/07/2019,,E-mail,Environmental Health Back Office
25/07/2019,EPRN12,Noise - Fairgrounds,,Burmantofts & Richmond Hill,26/07/2019,26/07/2019,,E-mail,Environmental Health Back Office
25/07/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Roundhay,15/08/2019,15/08/2019,,E-mail,Environmental Health Back Office
25/07/2019,EPRN19,Noise - Mobile Plant/Machinery,,Hunslet & Riverside,26/07/2019,26/07/2019,,Self Service,CCP Self Service
26/07/2019,EPRN25,Noise - Licensed Premises,,Chapel Allerton,04/10/2019,04/10/2019,,E-mail,Environmental Health Back Office
26/07/2019,EPRN03,Noise - Construction Sites,,Headingley & Hyde Park,21/08/2019,21/08/2019,,Self Service,CCP Self Service
26/07/2019,EPRN03,Noise - Construction Sites,,Garforth & Swillington,29/07/2019,29/07/2019,,Self Service,CCP Self Service
26/07/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),LS19 6,Horsforth,04/10/2019,04/10/2019,,Telephone Call,Contact Centre
26/07/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Chapel Allerton,22/08/2019,22/08/2019,,Telephone Call,Contact Centre
26/07/2019,EPRN25,Noise - Licensed Premises,,Gipton & Harehills,03/09/2019,03/09/2019,,Telephone Call,Environmental Health Back Office
27/07/2019,EPRN25,Noise - Licensed Premises,,Chapel Allerton,27/08/2019,27/08/2019,,E-mail,Environmental Health Back Office
27/07/2019,EPRN02,Noise - Commercial/Industrial Activities,,Burmantofts & Richmond Hill,29/07/2019,29/07/2019,,Telephone Call,Environmental Health Back Office
27/07/2019,EPRN02,Noise - Commercial/Industrial Activities,,Chapel Allerton,27/07/2019,27/07/2019,,Telephone Call,Environmental Health Back Office
27/07/2019,EPRN02,Noise - Commercial/Industrial Activities,,Chapel Allerton,31/07/2019,31/07/2019,,Telephone Call,Environmental Health Back Office
28/07/2019,EPRN25,Noise - Licensed Premises,,Chapel Allerton,13/08/2019,13/08/2019,,E-mail,Environmental Health Back Office
28/07/2019,EPRN25,Noise - Licensed Premises,LS7 4,Chapel Allerton,05/09/2019,05/09/2019,,E-mail,Environmental Health Back Office
28/07/2019,EPRN25,Noise - Licensed Premises,,Farnley & Wortley,22/08/2019,22/08/2019,,,Environmental Health Back Office
29/07/2019,EPRN25,Noise - Licensed Premises,,Killingbeck & Seacroft,24/12/2019,24/12/2019,,Self Service,CCP Self Service
29/07/2019,EPRN03,Noise - Construction Sites,,Little London & Woodhouse,29/07/2019,29/07/2019,,Self Service,CCP Self Service
29/07/2019,EPRN25,Noise - Licensed Premises,,Roundhay,22/08/2019,22/08/2019,,Telephone Call,Contact Centre
29/07/2019,EPRN03,Noise - Construction Sites,,Pudsey,16/08/2019,16/08/2019,,Telephone Call,Contact Centre
29/07/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,29/07/2019,29/07/2019,,Self Service,CCP Self Service
29/07/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Roundhay,22/08/2019,22/08/2019,,Self Service,CCP Self Service
29/07/2019,EPRN21,Noise - Low Frequency,,Hunslet & Riverside,29/07/2019,29/07/2019,,Self Service,CCP Self Service
29/07/2019,EPRN02,Noise - Commercial/Industrial Activities,,Beeston & Holbeck,29/07/2019,29/07/2019,,Self Service,CCP Self Service
29/07/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Killingbeck & Seacroft,24/09/2019,24/09/2019,,Self Service,CCP Self Service
29/07/2019,EPRN24,Noise - Patrons Entrng/Extng Buildings,,Bramley & Stanningley,22/08/2019,22/08/2019,,Self Service,CCP Self Service
29/07/2019,EPRN25,Noise - Licensed Premises,,Harewood,22/08/2019,22/08/2019,,E-mail,Environmental Health Back Office
30/07/2019,EPRN25,Noise - Licensed Premises,LS7 3,Chapel Allerton,08/08/2019,08/08/2019,,E-mail,Environmental Health Back Office
30/07/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Farnley & Wortley,28/08/2020,28/08/2020,,Self Service,CCP Self Service
30/07/2019,EPRN25,Noise - Licensed Premises,,Burmantofts & Richmond Hill,05/08/2019,05/08/2019,,E-mail,Environmental Health Back Office
31/07/2019,EPRN01,Noise - Air-Conditioning Units/Chillers,,Headingley & Hyde Park,31/07/2019,31/07/2019,,Self Service,CCP Self Service
31/07/2019,EPRN03,Noise - Construction Sites,LS28 7,Calverley & Farsley,02/08/2019,02/08/2019,,E-mail,Environmental Health Back Office
31/07/2019,EPRN19,Noise - Mobile Plant/Machinery,LS9 8,Burmantofts & Richmond Hill,14/08/2019,14/08/2019,,Telephone Call,Environmental Health Back Office
31/07/2019,EPRN20,Noise - Vehicle Repairs,,Roundhay,04/09/2019,04/09/2019,,Telephone Call,Contact Centre
31/07/2019,EPRN25,Noise - Licensed Premises,,Otley & Yeadon,30/09/2019,30/09/2019,,E-mail,Environmental Health Back Office
31/07/2019,EPRN22,Noise - Major Domestic Building Works,LS25 2,Garforth & Swillington,03/09/2019,03/09/2019,,Telephone Call,Contact Centre
31/07/2019,EPRN03,Noise - Construction Sites,,Weetwood,21/08/2019,21/08/2019,,E-mail,Environmental Health Back Office
01/08/2019,EPRN22,Noise - Major Domestic Building Works,LS6 3,Kirkstall,01/08/2019,01/08/2019,,Self Service,CCP Self Service
01/08/2019,EPRN21,Noise - Low Frequency,LS14 2,Harewood,06/09/2019,06/09/2019,,Telephone Call,Contact Centre
01/08/2019,EPRN01,Noise - Air-Conditioning Units/Chillers,LS18 5,Horsforth,06/09/2019,06/09/2019,,Telephone Call,Contact Centre
01/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Horsforth,01/08/2019,01/08/2019,,Self Service,CCP Self Service
01/08/2019,EPRN17,Noise - Farming Bird Scarers,,Morley South,01/08/2019,01/08/2019,,Self Service,CCP Self Service
01/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Hunslet & Riverside,02/08/2019,02/08/2019,,Self Service,CCP Self Service
01/08/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,02/08/2019,02/08/2019,,Self Service,CCP Self Service
01/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Hunslet & Riverside,02/08/2019,02/08/2019,,Self Service,CCP Self Service
01/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Hunslet & Riverside,02/08/2019,02/08/2019,,Self Service,CCP Self Service
02/08/2019,EPRN03,Noise - Construction Sites,,Kirkstall,02/08/2019,02/08/2019,,Self Service,CCP Self Service
02/08/2019,EPRN08,Noise - Ice Cream Van Chimes,LS1 8,Little London & Woodhouse,02/08/2019,02/08/2019,,Self Service,CCP Self Service
02/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Calverley & Farsley,15/11/2019,15/11/2019,,Telephone Call,Contact Centre
02/08/2019,EPRN01,Noise - Air-Conditioning Units/Chillers,,Pudsey,08/08/2019,08/08/2019,,Self Service,CCP Self Service
02/08/2019,EPRN03,Noise - Construction Sites,,Beeston & Holbeck,21/10/2019,21/10/2019,,E-mail,Environmental Health Back Office
02/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Headingley & Hyde Park,03/09/2019,03/09/2019,,E-mail,Environmental Health Back Office
02/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Armley,12/09/2019,12/09/2019,,E-mail,Environmental Health Back Office
03/08/2019,EPRN22,Noise - Major Domestic Building Works,,Hunslet & Riverside,05/08/2019,05/08/2019,,Self Service,CCP Self Service
03/08/2019,EPRN05,Noise - Roadworks,LS1 6,Little London & Woodhouse,05/08/2019,05/08/2019,,Self Service,CCP Self Service
03/08/2019,EPRN25,Noise - Licensed Premises,,Morley South,05/08/2019,05/08/2019,,Self Service,CCP Self Service
03/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Morley South,05/08/2019,05/08/2019,,Self Service,CCP Self Service
03/08/2019,EPRN25,Noise - Licensed Premises,,Burmantofts & Richmond Hill,05/08/2019,05/08/2019,,Self Service,CCP Self Service
04/08/2019,EPRN25,Noise - Licensed Premises,,Alwoodley,14/10/2019,14/10/2019,,Telephone Call,Environmental Health Back Office
04/08/2019,EPRN25,Noise - Licensed Premises,,Calverley & Farsley,05/08/2019,05/08/2019,,Self Service,CCP Self Service
04/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Calverley & Farsley,22/08/2019,22/08/2019,,Self Service,CCP Self Service
04/08/2019,EPRN25,Noise - Licensed Premises,,Burmantofts & Richmond Hill,03/09/2019,03/09/2019,,Self Service,CCP Self Service
04/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Calverley & Farsley,05/08/2019,05/08/2019,,Self Service,CCP Self Service
05/08/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Weetwood,29/08/2019,29/08/2019,,Self Service,CCP Self Service
05/08/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),BD11 1,Morley North,03/09/2019,03/09/2019,,Telephone Call,Contact Centre
05/08/2019,EPRN03,Noise - Construction Sites,,Garforth & Swillington,27/08/2019,27/08/2019,,Telephone Call,Contact Centre
05/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Beeston & Holbeck,17/10/2019,17/10/2019,,Self Service,CCP Self Service
06/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Headingley & Hyde Park,23/09/2019,23/09/2019,,Telephone Call,Contact Centre
06/08/2019,EPRN25,Noise - Licensed Premises,,Morley South,17/09/2019,17/09/2019,,E-mail,Environmental Health Back Office
06/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Crossgates & Whinmoor,16/09/2019,16/09/2019,,E-mail,Environmental Health Back Office
06/08/2019,EPRN25,Noise - Licensed Premises,,Ardsley & Robin Hood,09/08/2019,09/08/2019,,E-mail,Environmental Health Back Office
06/08/2019,EPRN25,Noise - Licensed Premises,,Ardsley & Robin Hood,09/08/2019,09/08/2019,,E-mail,Environmental Health Back Office
06/08/2019,EPRN25,Noise - Licensed Premises,,Burmantofts & Richmond Hill,09/08/2019,09/08/2019,,E-mail,Environmental Health Back Office
06/08/2019,EPRN03,Noise - Construction Sites,,Killingbeck & Seacroft,16/10/2019,16/10/2019,,E-mail,Environmental Health Back Office
06/08/2019,EPRN03,Noise - Construction Sites,,Calverley & Farsley,21/08/2019,21/08/2019,,E-mail,Environmental Health Back Office
06/08/2019,EPRN03,Noise - Construction Sites,LS2 7,Little London & Woodhouse,14/08/2019,14/08/2019,,Self Service,CCP Self Service
07/08/2019,EPRN22,Noise - Major Domestic Building Works,,Little London & Woodhouse,22/08/2019,22/08/2019,,Self Service,CCP Self Service
07/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Adel & Wharfedale,21/08/2019,21/08/2019,,E-mail,Environmental Health Back Office
07/08/2019,EPRN25,Noise - Licensed Premises,,Alwoodley,21/08/2019,21/08/2019,,E-mail,Environmental Health Back Office
07/08/2019,EPRN07,Noise - Motor Vehicles (On Private Land),,Garforth & Swillington,08/08/2019,08/08/2019,,Self Service,CCP Self Service
08/08/2019,EPRN05,Noise - Roadworks,,Roundhay,08/08/2019,08/08/2019,,Telephone Call,Contact Centre
08/08/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,03/09/2019,03/09/2019,,E-mail,Environmental Health Back Office
08/08/2019,EPRN03,Noise - Construction Sites,,Little London & Woodhouse,09/08/2019,09/08/2019,,Self Service,CCP Self Service
08/08/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,09/08/2019,09/08/2019,,Self Service,CCP Self Service
09/08/2019,EPRN04,Noise - Delivery/Collection Vehicles,LS14 5,Crossgates & Whinmoor,03/09/2019,03/09/2019,,Telephone Call,Contact Centre
09/08/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Hunslet & Riverside,02/10/2019,02/10/2019,,E-mail,Environmental Health Back Office
09/08/2019,EPRN25,Noise - Licensed Premises,,Killingbeck & Seacroft,21/10/2019,21/10/2019,,E-mail,Environmental Health Back Office
09/08/2019,EPRN24,Noise - Patrons Entrng/Extng Buildings,,Little London & Woodhouse,13/08/2019,13/08/2019,,Self Service,CCP Self Service
10/08/2019,EPRN17,Noise - Farming Bird Scarers,WF3 1,Morley South,16/08/2019,16/08/2019,,Self Service,CCP Self Service
10/08/2019,EPRN03,Noise - Construction Sites,,Middleton Park,04/10/2019,04/10/2019,,Self Service,CCP Self Service
10/08/2019,EPRN03,Noise - Construction Sites,,Little London & Woodhouse,23/09/2019,23/09/2019,,Self Service,CCP Self Service
10/08/2019,EPRN25,Noise - Licensed Premises,,Morley South,12/08/2019,12/08/2019,,Self Service,CCP Self Service
11/08/2019,EPRN03,Noise - Construction Sites,,Morley South,12/08/2019,12/08/2019,,Self Service,CCP Self Service
11/08/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Beeston & Holbeck,13/08/2019,13/08/2019,,Self Service,CCP Self Service
12/08/2019,EPRN03,Noise - Construction Sites,LS1 6,Little London & Woodhouse,12/08/2019,12/08/2019,,Self Service,CCP Self Service
12/08/2019,TXEN2B,TPHL Environmental - Noise Nuisance,,,29/10/2019,29/10/2019,,E-mail,Enforcement Back Office
12/08/2019,EPRN21,Noise - Low Frequency,LS14 2,Harewood,06/09/2019,06/09/2019,,Telephone Call,Environmental Health Back Office
12/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Hunslet & Riverside,25/09/2019,25/09/2019,,E-mail,Environmental Health Back Office
12/08/2019,EPRN05,Noise - Roadworks,,Hunslet & Riverside,13/08/2019,13/08/2019,,Self Service,CCP Self Service
12/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Headingley & Hyde Park,03/09/2019,03/09/2019,,E-mail,Environmental Health Back Office
13/08/2019,EPRN03,Noise - Construction Sites,,Headingley & Hyde Park,19/08/2019,19/08/2019,,E-mail,Environmental Health Back Office
13/08/2019,EPRN03,Noise - Construction Sites,,Horsforth,03/09/2019,03/09/2019,,Self Service,CCP Self Service
13/08/2019,EPRN25,Noise - Licensed Premises,,Calverley & Farsley,06/09/2019,06/09/2019,,E-mail,Environmental Health Back Office
13/08/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Armley,14/08/2019,14/08/2019,,Self Service,CCP Self Service
13/08/2019,EPRN08,Noise - Ice Cream Van Chimes,LS5 3,Kirkstall,03/09/2019,03/09/2019,,Self Service,CCP Self Service
14/08/2019,EPRN25,Noise - Licensed Premises,,Chapel Allerton,06/09/2019,06/09/2019,,E-mail,Environmental Health Back Office
14/08/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Weetwood,03/09/2019,03/09/2019,,E-mail,Environmental Health Back Office
14/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Beeston & Holbeck,05/09/2019,05/09/2019,,Self Service,CCP Self Service
15/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Beeston & Holbeck,03/09/2019,03/09/2019,,Telephone Call,Environmental Health Back Office
15/08/2019,EPRN03,Noise - Construction Sites,LS3 1,Little London & Woodhouse,10/09/2019,10/09/2019,,E-mail,Environmental Health Back Office
15/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Farnley & Wortley,06/09/2019,06/09/2019,,Self Service,CCP Self Service
16/08/2019,EPRN03,Noise - Construction Sites,,Pudsey,16/08/2019,16/08/2019,,Self Service,CCP Self Service
16/08/2019,EPRN25,Noise - Licensed Premises,,Roundhay,06/09/2019,06/09/2019,,,Environmental Health Back Office
16/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,LS12 2,Armley,19/08/2019,19/08/2019,,Self Service,CCP Self Service
16/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Roundhay,16/08/2019,16/08/2019,,Self Service,CCP Self Service
16/08/2019,EPRN07,Noise - Motor Vehicles (On Private Land),,Beeston & Holbeck,19/08/2019,19/08/2019,,Self Service,CCP Self Service
16/08/2019,EPRN25,Noise - Licensed Premises,,Roundhay,06/09/2019,06/09/2019,,Telephone Call,Environmental Health Back Office
16/08/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,19/08/2019,19/08/2019,,Self Service,CCP Self Service
17/08/2019,EPRN25,Noise - Licensed Premises,,Hunslet & Riverside,05/09/2019,05/09/2019,,Self Service,CCP Self Service
17/08/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,06/09/2019,06/09/2019,,Telephone Call,Environmental Health Back Office
17/08/2019,EPRN25,Noise - Licensed Premises,,Moortown,06/09/2019,06/09/2019,,E-mail,Environmental Health Back Office
17/08/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,10/09/2019,10/09/2019,,Self Service,CCP Self Service
17/08/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,19/08/2019,19/08/2019,,Self Service,CCP Self Service
18/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Killingbeck & Seacroft,06/09/2019,06/09/2019,,Self Service,CCP Self Service
18/08/2019,EPRN03,Noise - Construction Sites,,Morley North,19/08/2019,19/08/2019,,Self Service,CCP Self Service
18/08/2019,EPRN03,Noise - Construction Sites,,Weetwood,19/08/2019,19/08/2019,,Self Service,CCP Self Service
19/08/2019,EPRN03,Noise - Construction Sites,LS1 6,Little London & Woodhouse,19/08/2019,19/08/2019,,Self Service,CCP Self Service
19/08/2019,EPRN25,Noise - Licensed Premises,,Chapel Allerton,06/09/2019,06/09/2019,,E-mail,Environmental Health Back Office
19/08/2019,EPRN25,Noise - Licensed Premises,,Killingbeck & Seacroft,03/09/2019,03/09/2019,,E-mail,Environmental Health Back Office
19/08/2019,EPRN10,Noise - Fireworks (Commercial Premises),,Calverley & Farsley,10/09/2019,10/09/2019,,Self Service,CCP Self Service
19/08/2019,EPRN03,Noise - Construction Sites,,Pudsey,20/08/2019,20/08/2019,,Self Service,CCP Self Service
20/08/2019,EPRN01,Noise - Air-Conditioning Units/Chillers,,Calverley & Farsley,20/08/2019,20/08/2019,,Self Service,CCP Self Service
20/08/2019,EPRN06,Noise - Transport Not Constructn Related,,Calverley & Farsley,20/08/2019,20/08/2019,,Self Service,CCP Self Service
20/08/2019,EPRN01,Noise - Air-Conditioning Units/Chillers,,Horsforth,20/08/2019,20/08/2019,,Self Service,CCP Self Service
20/08/2019,EPRN25,Noise - Licensed Premises,,Armley,12/09/2019,12/09/2019,,E-mail,Environmental Health Back Office
20/08/2019,EPRN03,Noise - Construction Sites,,Alwoodley,29/08/2019,29/08/2019,,E-mail,Environmental Health Back Office
20/08/2019,EPRN16,Noise - Buskers,LS12 4,Farnley & Wortley,21/08/2019,21/08/2019,,Self Service,CCP Self Service
20/08/2019,EPRN16,Noise - Buskers,,Hunslet & Riverside,21/08/2019,21/08/2019,,Self Service,CCP Self Service
21/08/2019,EPRN03,Noise - Construction Sites,,Roundhay,15/10/2019,15/10/2019,,Telephone Call,Contact Centre
21/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Crossgates & Whinmoor,24/08/2020,24/08/2020,,E-mail,Environmental Health Back Office
21/08/2019,EPRN25,Noise - Licensed Premises,,Beeston & Holbeck,12/09/2019,12/09/2019,,Telephone Call,Environmental Health Back Office
22/08/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),LS6 1,Headingley & Hyde Park,22/08/2019,22/08/2019,,E-mail,Environmental Health Back Office
22/08/2019,EPRN03,Noise - Construction Sites,,Morley North,22/08/2019,22/08/2019,,Self Service,CCP Self Service
22/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,LS23 6,Wetherby,11/09/2019,11/09/2019,,Self Service,CCP Self Service
23/08/2019,EPRN25,Noise - Licensed Premises,,Armley,04/10/2019,04/10/2019,,Telephone Call,Contact Centre
23/08/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,27/08/2019,27/08/2019,,Self Service,CCP Self Service
23/08/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,27/08/2019,27/08/2019,,Self Service,CCP Self Service
23/08/2019,EPRN12,Noise - Fairgrounds,LS23 6,Wetherby,27/08/2019,27/08/2019,,Self Service,CCP Self Service
24/08/2019,EPRN25,Noise - Licensed Premises,LS23 6,Wetherby,27/08/2019,27/08/2019,,Self Service,CCP Self Service
24/08/2019,EPRN25,Noise - Licensed Premises,,Morley South,02/10/2019,02/10/2019,,E-mail,Environmental Health Back Office
24/08/2019,EPRN02,Noise - Commercial/Industrial Activities,,Little London & Woodhouse,27/08/2019,27/08/2019,,Self Service,CCP Self Service
24/08/2019,EPRN01,Noise - Air-Conditioning Units/Chillers,,Little London & Woodhouse,27/08/2019,27/08/2019,,Self Service,CCP Self Service
24/08/2019,EPRN25,Noise - Licensed Premises,LS23 6,Wetherby,27/08/2019,27/08/2019,,Self Service,CCP Self Service
24/08/2019,EPRN25,Noise - Licensed Premises,LS23 6,Wetherby,06/09/2019,06/09/2019,,Self Service,CCP Self Service
25/08/2019,EPRN03,Noise - Construction Sites,,Farnley & Wortley,13/09/2019,13/09/2019,,Self Service,CCP Self Service
25/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,LS23 6,Wetherby,03/09/2019,03/09/2019,,Self Service,CCP Self Service
25/08/2019,EPRN25,Noise - Licensed Premises,LS23 6,Wetherby,30/08/2019,30/08/2019,,Telephone Call,Environmental Health Back Office
25/08/2019,EPRN25,Noise - Licensed Premises,,Chapel Allerton,08/10/2019,08/10/2019,,E-mail,Environmental Health Back Office
25/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Little London & Woodhouse,27/08/2019,27/08/2019,,Self Service,CCP Self Service
25/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Farnley & Wortley,27/08/2019,27/08/2019,,Self Service,CCP Self Service
25/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Ardsley & Robin Hood,12/09/2019,12/09/2019,,Self Service,CCP Self Service
25/08/2019,EPRN18,Noise - PA Systems & Loud Speakers,LS23 6,Wetherby,03/09/2019,03/09/2019,,Self Service,CCP Self Service
25/08/2019,EPRN25,Noise - Licensed Premises,,Crossgates & Whinmoor,17/09/2019,17/09/2019,,Self Service,CCP Self Service
